country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",26-04-2025 18:00:00,25.32393,82.99687,PM10,NA,NA,NA
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",26-04-2025 18:00:00,27.571409,77.655757,NH3,1,2,2
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",26-04-2025 18:00:00,27.571409,77.655757,CO,19,77,36
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",26-04-2025 18:00:00,27.571409,77.655757,OZONE,11,13,11
India,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",26-04-2025 18:00:00,30.269444,78.044167,NO2,1,7,3
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",26-04-2025 18:00:00,23.685297,86.945968,NO2,28,73,40
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",26-04-2025 18:00:00,23.697936,86.944395,NH3,2,4,3
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB",26-04-2025 18:00:00,23.618183,87.105718,SO2,5,40,12
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB",26-04-2025 18:00:00,23.616515,87.119133,PM2.5,50,95,66
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",26-04-2025 18:00:00,22.7605581,88.3617589,SO2,14,15,14
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",26-04-2025 18:00:00,23.567923,87.306843,PM2.5,36,70,57
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",26-04-2025 18:00:00,22.06047,88.109737,PM10,23,83,51
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",26-04-2025 18:00:00,22.06047,88.109737,CO,20,24,22
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",26-04-2025 18:00:00,22.06047,88.109737,OZONE,11,45,36
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",26-04-2025 18:00:00,22.629801,88.352017,NO2,34,35,34
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",26-04-2025 18:00:00,22.554954,88.292568,PM2.5,22,41,31
